Timestamp,Modo,V1,V2,V3,V4
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
2025-05-08 22:43:38,MODO AC,15.21,11.86,1.21,6.55
